BindingDB_Reactant_set_id,IC50_nM
233822,0.1314
233779,0.1338
233817,0.1373
400760,15
400768,15
418576,15
352705,15
352696,15
352536,15
352422,15
352328,15
352351,15
285977,15
285758,15
285565,15
285484,15
286808,15
286814,15
286818,15
51091103,15
234555,15
216383,15.01
216330,15.09
216434,15.1
216270,15.1
234546,15.2
216489,15.23
221723,15.51
443854,16
50842785,16
443871,16
443893,16
50371606,16
415011,16
400993,16
400875,16
400890,16
400905,16
400781,16
400745,16
352646,16
352653,16
352538,16
352598,16
50353900,16
50199376,16
50252410,16
50307589,16
285791,16
285726,16
285630,16
285663,16
285685,16
285687,16
285566,16
285490,16
50081110,16
443863,16
50559402,16
50559409,16
50710804,16
50920178,16
51061937,16
234540,16.2
216467,16.51
3039,16.51
216465,16.54
2880,16.54
234560,16.7
234608,16.7
234554,16.8
216440,16.84
443860,17
285771,17
50665752,17
50937694,17
50976221,17
51062929,17
285449,17
285528,17
285580,17
285573,17
285762,17
50494044,17
414990,17
401257,17
50365806,17
50365828,17
418589,17
400676,17
50466351,17
352658,17
352573,17
351816,17
50357800,17
352309,17
50353845,17
285867,17
285886,17
285911,17
50842807,17
285818,17
285700,17
285733,17
216323,17.32
234607,17.4
216322,17.42
335039,17.5
234614,17.5
370424,17.5
234647,17.6
234571,17.7
216474,17.76
234656,17.8
443869,18
50842763,18
443905,18
443909,18
415017,18
414921,18
401145,18
400959,18
418572,18
50391281,18
400840,18
400658,18
400620,18
352326,18
50357816,18
50252430,18
285980,18
50157186,18
285772,18
285698,18
285701,18
285629,18
285468,18
285493,18
285527,18
286798,18
285416,18
286786,18
286789,18
443898,18
50559419,18
50559411,18
50665754,18
50937687,18
50715372,18
234583,18
51061944,18
51095839,18
234527,18.1
234533,18.3
234605,18.5
216316,18.68
234562,18.7
216507,18.73
443907,19
50848758,19
414935,19
400925,19
352527,19
352491,19
351824,19
352307,19
285915,19
285928,19
285785,19
285555,19
285605,19
286805,19
285439,19
286783,19
414923,19
216274,19
50976218,19
50712299,19
50665753,19
50842761,19
234544,19.5
50494059,20
50442507,20
414932,20
401280,20
401181,20
400888,20
400923,20
400660,20
400697,20
352423,20
352434,20
352442,20
352352,20
50413175,20
50307569,20
50307617,20
285959,20
285849,20
285909,20
285735,20
285657,20
285577,20
285582,20
285436,20
50081145,20
234637,20
414930,20
50879707,20
50842794,20
51061940,20
51062941,20
216202,20
50569677,20
50569678,20
50905610,20
234587,20.1
234584,20.6
216311,20.73
443861,21
50848753,21
50494051,21
414973,21
414993,21
401094,21
400756,21
400759,21
400664,21
400713,21
400746,21
352720,21
400625,21
400626,21
400652,21
352554,21
352437,21
352508,21
285799,21
285815,21
285757,21
285640,21
285511,21
286796,21
285450,21
443868,21
50905638,21
50920142,21
216488,21.25
234531,21.9
414925,22
50905632,22
401050,22
400869,22
352710,22
400646,22
352427,22
285817,22
285751,22
285639,22
285560,22
285467,22
285525,22
285430,22
285437,22
401281,22
50624598,22
50624597,22
50976229,22
50976228,22
51045323,22
234591,22
51061942,22
51073017,22
216353,22.1
234645,22.3
50973021,22.4
234598,22.5
216329,22.59
234635,22.6
443880,23
443884,23
50494046,23
50365819,23
50366007,23
50366054,23
418582,23
400695,23
400699,23
400618,23
352512,23
352443,23
285954,23
285939,23
285794,23
285810,23
285846,23
285732,23
285739,23
285625,23
285647,23
285674,23
285679,23
285510,23
255679,23
51045313,23
50976233,23
50665758,23
50665765,23
216413,23.38
258334,23.4
234613,23.4
234585,23.7
216380,23.89
443856,24
50976234,24
50371624,24
414953,24
414965,24
401278,24
401073,24
401183,24
400666,24
400738,24
352535,24
352431,24
352455,24
352379,24
352401,24
352406,24
285783,24
285826,24
285840,24
285697,24
285668,24
285547,24
50109746,24
443899,24
50976219,24
51095844,24
51072998,24
51091089,24
234631,24.3
216553,24.7
234606,24.8
216424,24.83
50417502,25
50905618,25
400877,25
400844,25
400704,25
352673,25
50423567,25
50413177,25
50157168,25
285878,25
285797,25
285845,25
285611,25
285554,25
285584,25
285455,25
255683,25
51062940,25
415006,25
50976217,25
50665790,25
50848752,25
216204,25.9
414919,26
50560652,26
400667,26
400687,26
352702,26
352635,26
352343,26
352359,26
352361,26
351818,26
285814,26
285666,26
285574,26
285597,26
285501,26
285530,26
400991,26
50610992,26
50948710,26
51061892,26
51095837,26
234536,26.2
234609,26.2
216328,26.32
216414,26.69
216249,26.8
216435,26.89
443876,27
50611004,27
414974,27
400960,27
352718,27
400617,27
400633,27
352671,27
352463,27
352382,27
50421322,27
285971,27
285850,27
285707,27
285717,27
51091109,27
443908,27
50712267,27
50710835,27
51091073,27
234601,27.2
234558,27.3
216335,27.42
216412,27.55
216552,27.56
216222,27.7
443918,28
50842803,28
401047,28
400879,28
400913,28
400839,28
352647,28
352313,28
285978,28
285851,28
285871,28
285873,28
285880,28
285935,28
285770,28
285825,28
285567,28
285591,28
285503,28
286815,28
401113,28
50560640,28
51061941,28
50665797,28
50955232,28
234627,28.6
216429,28.92
443911,29
50842802,29
400874,29
400755,29
352610,29
352633,29
352684,29
352555,29
352583,29
285729,29
262079,29
443882,29
50665795,29
50710836,29
216260,29
216520,29.07
216336,29.1
234649,29.5
234623,29.6
216535,29.92
443859,30
50559421,30
400924,30
418592,30
352732,30
352678,30
352687,30
352441,30
352444,30
352329,30
50357827,30
351822,30
50252409,30
50224273,30
285830,30
285720,30
285568,30
285477,30
401164,30
50920149,30
