BindingDB Reactant_set_id,IC50 (nM)
50478037,1400
330358,1400
50273152,1400
50348458,1400
50318341,1400
50385239,1400
50413853,1400
50443621,1400
50576678,1400
50574572,1400
50574567,1400
50574564,1400
50574560,1400
10007,1400
50628123,1400
50600044,1400
50714862,1400
421733,1400
50477922,1400
50266757,1400
50924863,1400
50714218,1400
7447,1400
50241362,1410
9431,1410
8600,1410
50359532,1415
50369550,1430
266619,1432
357140,1433
50359515,1438
50369572,1440
50276718,1440
50882512,1447
50177568,1449
16075,1450
357202,1459
50371929,1460
50388071,1460
411578,1470
50449181,1470
7515,1470
50561417,1472
50445949,1480
50847651,1489
50704754,1490
50561445,1497
50478067,1500
50908443,1500
7019,1500
50324019,1500
50324016,1500
50398630,1500
50424061,1500
50416831,1500
50454868,1500
6937,1500
50865975,1500
259724,1500
50129495,1500
50329759,1500
411589,1500
410841,1500
51017615,1513.56
50498663,1520
50910348,1530
50446850,1530
50950649,1540
50331694,1550
50388097,1550
50385044,1560
51046941,1560
50164967,1570
50164895,1570
50443619,1570
50369617,1580
51028687,1584.89
51028699,1584.89
51028617,1584.89
51028653,1584.89
50419256,1600
7435,1600
50165011,1600
50164929,1600
50300717,1600
50319526,1600
50388030,1600
50385195,1600
50424055,1600
50416830,1600
50445837,1600
50908417,1600
357152,1607
16080,1610
8598,1610
357153,1617
50931086,1624
50449141,1630
8193,1630
227983,1.63E+03
280967,1640
259733,1640
50369369,1650
50927813,1650
50632238,1650
50385043,1660
170852,1.66E+03
16098,1660
50330443,1660
50247857,1660
50369438,1660
272099,1688
357144,1688
50369557,1690
51017520,1698.24
50846403,1700
50390507,1700
50445836,1700
7444,1700
14945,1700
31750,1700
50026049,1700
50862593,1700
50446329,1700
50319508,1700
50427150,1700
50463879,1710
50561425,1712
50561419,1726
7519,1730
27505,1737.8
50561416,1748
50882507,1752
50579698,1754
358615,1755
16082,1770
50280764,1772
358600,1789
9463,1800
9928,1800
50413886,1800
50908470,1800
50277007,1800
50319514,1800
411573,1800
50445828,1800
50424062,1800
50424114,1800
50600025,1800
50450216,1800
51028953,1804
357157,1805
50463895,1810
51046940,1830
50369632,1840
377149,1850
16070,1850
50330387,1860
50165094,1860
50463875,1860
8603,1870
50369375,1870
272103,1872
8562,1880
410840,1885
50446868,1890
50628158,1890
50498666,1900
9967,1900
50478043,1900
14938,1900
31865,1900
50323265,1900
50350836,1900
50361594,1900
50424077,1900
50424071,1900
50424070,1900
50424068,1900
50449963,1900
50581358,1900
50574559,1900
421732,1900
406634,1900
50358902,1900
50924864,1900
50864803,1900
50862513,1900
51017519,1905.46
272105,1913
50931087,1919
16103,1920
50449129,1920
50355103,1930
50408177,1947
51028804,1950
50446890,1980
50247854,1990
50355102,1990
50463850,1990
358610,1996
50463853,2000
22199,2000
12038,2000
27481,2000
50164996,2000
50300722,2000
50319539,2000
50323895,2000
50332887,2000
50355941,2000
50355929,2000
50355913,2000
50355912,2000
50349543,2000
50266680,2000
50574558,2000
50565624,2000
50908471,2000
50908444,2000
50445867,2000
50445872,2000
50419224,2000
50424074,2000
50424078,2000
50313074,2010
50463857,2020
50449187,2020
50857504,2030
50385094,2030
358601,2036
14438,2040
14436,2040
357188,2046
50446864,2050
8198,2050
50579703,2059
303526,2062
63999,2062
50915174,2070
50931088,2073
50561447,2094
50882513,2099
50385216,2100
50424112,2100
9469,2100
50422709,2100
50422698,2100
50581350,2100
225338,2.10E+03
51046944,2100
50276987,2100
50266754,2100
8199,2100
259902,2100
50347888,2100
272116,2109
50882508,2112
50331715,2120
16096,2120
50355101,2120
50368926,2123
273943,2129
412709,2129
273918,2130
412684,2130
50141577,2140
7509,2140
259798,2180
51028785,2180
412741,2200
225333,2.20E+03
50581362,2200
50583031,2200
273975,2200
50626204,2210
50579688,2218
358622,2224
50247858,2240
50385115,2250
50544490,2250
50247855,2270
50369556,2270
50164960,2290
50164890,2290
357143,2297
50498622,2300
46354,2300
50252160,2300
50416835,2300
50581435,2300
50622221,2300
50628112,2300
406609,2300
50477836,2300
10073,2320
50449172,2330
50456015,2360
357154,2363
50330446,2370
50382071,2370
50505203,2385
50937513,2390
8599,2390
50498664,2400
50086913,2400
7280,2400
59750,2400
50300687,2400
50908418,2400
50924866,2400
50924861,2400
50285177,2400
421730,2400
421736,2400
303525,2418
63998,2418
50722283,2430
7518,2430
50369380,2440
50097666,2440
50422585,2458
50108532,2469
50463852,2480
50285166,2480
50931089,2481
50477828,2500
50574570,2500
22196,2500
22193,2500
50285005,2500
50337868,2500
50544487,2500
50506031,2500
50574565,2500
50628111,2500
50266683,2500
16078,2510
50355100,2510
51028641,2511.89
280960,2520
50714224,2521
50385110,2540
48130,2540
50369435,2550
50355099,2580
421734,2600
27484,2600
31740,2600
50252151,2600
50424117,2600
50908445,2600
50628119,2600
50924838,2600
51045773,2600
293082,2.60E+03
259680,2600
51045768,2600
231454,2610
50463855,2620
16180,2630
50385083,2650
50331680,2660
50355104,2670
50203717,2673
50434285,2680
50164897,2680
50426802,2700
50445829,2700
50252222,2700
50846394,2700
50319522,2700
50323272,2700
50337527,2700
259726,2700
50908442,2700
6909,2700
231558,2704
50108531,2716
50651014,2720
50164948,2720
50349509,2777
389862,2790
50477667,2800
50628154,2800
14928,2800
50323242,2800
51017462,2818.38
410848,2827
50573431,2830
8499,2840
50348472,2840
50349601,2882
50478015,2900
170291,2.90E+03
9908,2900
50846381,2900
50323258,2900
50426512,2900
6913,2900
50329758,2900
50449178,2920
357145,2934
231423,2956
50385122,2960
50385099,2970
273901,2980
412667,2980
50463851,2990
50505208,3000
50574563,3000
27401,3000
50370152,3000
50424085,3000
50420331,3000
50449946,3000
50440562,3000
225331,3.00E+03
